SurveyID,SiteID,StartDate,EndDate,Quadrat,NumTraps
1,1,7/9/91,7/10/91,1,49
2,1,7/9/91,7/10/91,2,49
3,10,7/19/91,7/20/91,1,49
4,10,7/19/91,7/20/91,2,49
5,6,7/2/91,7/3/91,1,49
6,6,7/2/91,7/3/91,2,49
7,14,7/11/91,7/12/91,1,49
8,14,7/11/91,7/12/91,2,49
9,16,7/16/91,7/17/91,1,49
10,16,7/16/91,7/17/91,2,49
11,13,7/25/91,7/26/91,1,49
12,13,7/25/91,7/26/91,2,49
13,4,7/23/91,7/24/91,1,49
14,4,7/23/91,7/24/91,2,49
15,1,7/14/92,7/15/92,1,49
16,1,7/14/92,7/15/92,2,49
17,10,6/30/92,7/1/92,1,49
18,10,6/30/92,7/1/92,2,49
19,6,6/23/92,6/24/92,1,49
20,6,6/23/92,6/24/92,2,49
21,14,6/25/92,6/26/92,1,49
22,14,6/25/92,6/26/92,2,49
23,16,7/2/92,7/3/92,1,49
24,16,7/2/92,7/3/92,2,49
25,13,7/9/92,7/10/92,1,49
26,13,7/9/92,7/10/92,2,49
27,4,7/7/92,7/8/92,1,49
28,4,7/7/92,7/8/92,2,49
29,1,7/8/93,7/9/93,1,49
30,1,7/8/93,7/9/93,2,49
31,10,7/13/93,7/14/93,1,49
32,10,7/13/93,7/14/93,2,49
33,15,7/6/93,7/7/93,1,49
34,15,7/6/93,7/7/93,2,49
35,15,7/6/93,7/7/93,3,98
36,8,7/20/93,7/21/93,1,49
37,6,6/29/93,6/30/93,1,49
38,6,6/29/93,6/30/93,2,49
39,14,7/1/93,7/2/93,1,49
40,14,7/1/93,7/2/93,2,49
41,14,7/1/93,7/2/93,3,98
42,16,7/8/93,7/9/93,1,49
43,16,7/8/93,7/9/93,2,49
44,17,6/25/93,6/26/93,3,49
45,17,6/25/93,6/26/93,4,49
46,17,6/23/93,6/24/93,1,49
47,17,6/23/93,6/24/93,2,49
48,13,7/15/93,7/16/93,1,49
49,13,7/15/93,7/16/93,2,49
50,13,7/15/93,7/16/93,3,98
51,18,7/22/93,7/23/93,1,49
52,18,7/22/93,7/23/93,2,49
53,7,7/20/93,7/21/93,1,49
54,7,7/20/93,7/21/93,2,49
55,4,6/29/93,6/30/93,1,49
56,4,6/29/93,6/30/93,2,49
57,1,7/7/94,7/8/94,1,49
58,1,7/7/94,7/8/94,2,49
59,10,7/19/94,7/20/94,1,49
60,10,7/19/94,7/20/94,2,49
61,15,7/15/94,7/16/94,1,49
62,15,7/15/94,7/16/94,2,49
63,8,7/7/94,7/8/94,1,49
64,6,6/28/94,6/29/94,1,49
65,6,6/28/94,6/29/94,2,49
66,14,6/30/94,7/1/94,1,49
67,14,6/30/94,7/1/94,2,49
68,16,7/14/94,7/15/94,1,49
69,16,7/14/94,7/15/94,2,49
70,17,7/21/94,7/22/94,1,49
71,17,7/21/94,7/22/94,2,49
72,3,6/22/94,6/23/94,1,49
73,3,6/22/94,6/23/94,2,49
74,13,7/12/94,7/13/94,1,49
75,13,7/12/94,7/13/94,2,49
76,18,7/12/94,7/13/94,1,49
77,18,7/12/94,7/13/94,2,49
78,7,6/30/94,7/1/94,1,49
79,7,6/30/94,7/1/94,2,49
80,4,6/28/94,6/29/94,1,49
81,4,6/28/94,6/29/94,2,49
82,1,7/13/95,7/14/95,1,49
83,1,7/13/95,7/14/95,2,49
84,10,7/7/95,7/8/95,1,49
85,10,7/7/95,7/8/95,2,49
86,15,6/29/95,6/30/95,1,49
87,15,6/29/95,6/30/95,2,49
88,8,7/18/95,7/19/95,1,49
89,5,7/28/95,7/29/95,1,49
90,5,7/28/95,7/29/95,2,49
91,6,7/26/95,7/27/95,1,49
92,6,7/26/95,7/27/95,2,49
93,11,7/29/95,7/30/95,1,49
94,14,6/27/95,6/28/95,1,49
95,14,6/27/95,6/28/95,2,49
96,16,7/18/95,7/19/95,1,49
97,16,7/18/95,7/19/95,2,49
98,17,7/21/95,7/22/95,1,49
99,17,7/21/95,7/22/95,2,49
100,3,7/20/95,7/21/95,1,49
101,3,7/20/95,7/21/95,2,49
102,20,6/27/95,6/28/95,1,49
103,20,6/27/95,6/28/95,2,49
104,13,7/13/95,7/14/95,1,49
105,13,7/13/95,7/14/95,2,49
106,18,7/11/95,7/12/95,1,49
107,18,7/11/95,7/12/95,2,49
108,7,7/6/95,7/7/95,1,49
109,7,7/6/95,7/7/95,2,49
110,4,7/11/95,7/12/95,1,49
111,4,7/11/95,7/12/95,2,49
112,19,6/29/95,6/30/95,1,49
113,19,6/29/95,6/30/95,2,49
114,2,7/27/95,7/28/95,1,49
115,2,7/27/95,7/28/95,2,49
116,1,7/2/96,7/3/96,1,49
117,1,7/2/96,7/3/96,2,49
118,10,7/23/96,7/24/96,1,49
119,10,7/23/96,7/24/96,2,49
120,15,6/25/96,6/26/96,1,49
121,15,6/25/96,6/26/96,2,49
122,8,7/13/96,7/14/96,1,49
123,5,7/16/96,7/17/96,1,49
124,5,7/16/96,7/17/96,2,49
125,6,6/27/96,6/28/96,1,49
126,6,6/27/96,6/28/96,2,49
127,11,7/13/96,7/14/96,1,49
128,14,7/25/96,7/26/96,1,49
129,14,7/25/96,7/26/96,2,49
130,16,7/11/96,7/12/96,1,49
131,16,7/11/96,7/12/96,2,49
132,17,7/11/96,7/12/96,1,49
133,17,7/11/96,7/12/96,2,49
134,3,8/6/96,8/7/96,1,49
135,3,8/6/96,8/7/96,2,49
136,20,7/25/96,7/26/96,1,49
137,20,7/25/96,7/26/96,2,49
138,13,7/2/96,7/3/96,1,49
139,13,7/2/96,7/3/96,2,49
140,18,7/9/96,7/10/96,1,49
141,18,7/9/96,7/10/96,2,49
142,7,7/16/96,7/17/96,1,49
143,7,7/16/96,7/17/96,2,49
144,4,7/9/96,7/10/96,1,49
145,4,7/9/96,7/10/96,2,49
146,19,6/21/96,6/22/96,1,49
147,19,6/21/96,6/22/96,2,49
148,2,7/31/96,8/1/96,1,49
149,2,7/31/96,8/1/96,2,49
150,4,6/17/97,6/20/97,1,49
151,4,6/17/97,6/20/97,2,49
152,20,6/24/97,6/27/97,1,49
153,20,6/24/97,6/27/97,2,49
154,19,6/25/97,6/28/97,1,49
155,19,6/25/97,6/28/97,2,49
156,14,6/30/97,7/3/97,1,49
157,14,6/30/97,7/3/97,2,49
159,13,7/8/97,7/11/97,1,49
161,13,7/8/97,7/11/97,2,49
162,6,7/8/97,7/11/97,1,49
163,6,7/8/97,7/11/97,2,49
164,2,7/10/97,7/11/97,1,49
165,2,7/10/97,7/11/97,2,49
167,1,7/15/97,7/18/97,1,49
168,1,7/15/97,7/18/97,2,49
169,17,7/15/97,7/18/97,1,49
170,17,7/15/97,7/18/97,2,49
171,16,7/15/97,7/18/97,1,49
172,16,7/15/97,7/18/97,2,49
173,18,7/22/97,7/23/97,1,49
174,18,7/22/97,7/23/97,2,49
175,8,7/23/97,7/24/97,1,49
176,11,7/24/97,7/25/97,1,49
177,10,7/29/97,8/1/97,1,49
178,10,7/29/97,8/1/97,2,49
179,7,8/1/97,8/2/97,1,49
180,7,8/1/97,8/2/97,2,49
181,20,7/28/98,7/31/98,1,49
182,20,7/28/98,7/31/98,2,144
183,10,6/29/98,7/2/98,1,144
184,10,6/29/98,7/2/98,2,49
185,17,7/20/98,7/23/98,1,144
186,17,7/20/98,7/23/98,2,49
187,14,7/14/98,7/17/98,1,144
188,14,7/14/98,7/17/98,2,49
189,7,7/14/98,7/17/98,1,49
190,7,7/14/98,7/17/98,2,49
191,1,6/16/98,6/19/98,1,49
349,1,6/16/98,6/19/98,2,49
350,6,6/17/98,6/20/98,1,49
351,6,6/17/98,6/20/98,2,49
352,18,7/31/98,8/1/98,1,49
353,18,7/31/98,8/1/98,2,49
354,4,7/26/98,7/27/98,2,49
355,4,7/26/98,7/27/98,1,49
356,13,7/1/98,7/2/98,1,49
357,13,7/1/98,7/2/98,2,49
358,16,6/29/98,6/30/98,1,49
359,16,6/29/98,6/30/98,2,49
360,19,6/26/98,6/27/98,1,49
361,19,6/26/98,6/27/98,2,49
362,2,6/23/98,6/24/98,1,49
363,2,6/23/98,6/24/98,2,49
364,4,7/12/99,7/13/99,1,49
365,4,7/12/99,7/13/99,2,49
366,10,7/20/99,7/23/99,1,49
367,10,7/20/99,7/23/99,2,49
368,16,7/20/99,7/21/99,1,49
369,16,7/20/99,7/21/99,2,49
370,13,7/12/99,7/13/99,1,49
371,13,7/12/99,7/13/99,2,49
372,6,7/8/99,7/11/99,1,49
374,6,7/8/99,7/11/99,2,49
375,7,7/6/99,7/9/99,1,49
378,7,7/6/99,7/9/99,2,49
379,1,6/22/99,6/25/99,1,49
381,1,6/22/99,6/25/99,2,49
382,20,6/15/99,6/18/99,1,49
383,20,6/15/99,6/18/99,2,144
384,8,8/11/99,8/12/99,1,49
385,17,8/3/99,8/6/99,1,144
386,17,8/3/99,8/6/99,2,49
387,14,7/15/99,7/18/99,1,144
388,14,7/15/99,7/18/99,2,49
389,19,7/4/00,7/5/00,1,49
390,8,7/29/98,7/30/98,1,49
391,19,6/15/99,6/16/99,1,49
392,19,6/15/99,6/16/99,2,49
393,18,6/21/99,6/22/99,1,49
394,18,6/21/99,6/22/99,2,49
395,2,6/24/99,6/25/99,1,49
396,2,6/24/99,6/25/99,2,49
397,19,7/4/00,7/5/00,2,49
398,11,7/4/00,7/5/00,1,49
399,18,7/6/00,7/7/00,1,49
400,18,7/6/00,7/7/00,2,49
401,15,7/6/00,7/7/00,1,49
402,15,7/6/00,7/7/00,2,49
403,1,7/11/00,7/12/00,1,49
404,1,7/11/00,7/12/00,2,49
405,14,7/12/00,7/13/00,1,49
406,14,7/12/00,7/13/00,2,49
407,7,7/14/00,7/15/00,1,49
408,7,7/14/00,7/15/00,2,49
409,6,7/14/00,7/15/00,1,49
410,6,7/14/00,7/15/00,2,49
411,2,7/25/00,7/26/00,1,49
412,2,7/25/00,7/26/00,2,49
413,4,7/26/00,7/27/00,1,49
414,4,7/26/00,7/27/00,2,49
416,13,7/27/00,7/28/00,1,49
417,13,7/27/00,7/28/00,2,49
418,10,7/29/00,7/30/00,1,49
419,10,7/29/00,7/30/00,2,49
420,17,7/30/00,7/31/00,1,49
421,17,7/30/00,7/31/00,2,49
422,16,8/1/00,8/3/00,1,49
423,16,8/1/00,8/3/00,2,49
424,8,8/2/00,8/3/00,1,49
425,20,7/18/00,7/20/00,1,49
426,20,7/18/00,7/20/00,2,49
427,20,7/3/01,7/4/01,1,49
428,20,7/3/01,7/4/01,2,49
429,6,7/11/01,7/12/01,1,49
430,6,7/11/01,7/12/01,2,49
431,7,7/11/01,7/12/01,1,49
432,7,7/11/01,7/12/01,2,49
433,19,7/13/01,7/14/01,1,49
434,19,7/13/01,7/14/01,2,49
435,2,7/15/01,7/16/01,1,49
436,2,7/15/01,7/16/01,2,49
437,1,7/15/01,7/16/01,1,49
438,1,7/15/01,7/16/01,2,49
439,16,7/18/01,7/19/01,1,49
440,16,7/18/01,7/19/01,2,49
441,4,7/13/01,7/14/01,1,49
442,4,7/13/01,7/14/01,2,49
443,15,7/21/01,7/22/01,1,49
444,15,7/21/01,7/22/01,2,49
445,11,7/24/01,7/25/01,1,49
446,10,7/20/01,7/21/01,1,49
447,10,7/20/01,7/21/01,2,49
448,18,7/24/01,7/25/01,1,49
449,18,7/24/01,7/25/01,2,49
450,17,7/31/01,8/1/01,1,49
451,17,7/31/01,8/1/01,2,49
452,13,8/2/01,8/3/01,1,49
453,13,8/2/01,8/3/01,2,49
454,14,7/1/01,7/2/01,1,49
455,14,7/1/01,7/2/01,2,49
456,8,7/31/01,8/1/01,1,49
457,1,7/3/02,7/4/02,1,49
458,1,7/3/02,7/4/02,2,49
459,18,7/3/02,7/4/02,1,49
460,18,7/3/02,7/4/02,2,49
461,4,7/6/02,7/7/02,1,49
462,4,7/6/02,7/7/02,2,49
463,15,7/9/02,7/10/02,1,49
464,15,7/9/02,7/10/02,2,49
465,8,7/9/02,7/10/02,1,49
466,14,7/11/02,7/12/02,1,49
467,14,7/11/02,7/12/02,2,49
469,2,7/12/02,7/13/02,1,49
470,2,7/12/02,7/13/02,2,49
471,7,7/15/02,7/16/02,1,49
472,7,7/15/02,7/16/02,2,49
473,6,7/15/02,7/16/02,1,49
474,6,7/15/02,7/16/02,2,49
475,20,7/17/02,7/18/02,1,49
476,20,7/17/02,7/18/02,2,49
478,10,7/17/02,7/18/02,1,49
479,10,7/17/02,7/18/02,2,49
480,11,7/20/02,7/21/02,1,49
481,19,7/28/02,7/29/02,1,49
482,19,7/28/02,7/29/02,2,49
483,16,7/24/02,7/25/02,1,49
484,16,7/24/02,7/25/02,2,49
485,13,7/26/02,7/27/02,1,49
486,13,7/26/02,7/27/02,2,49
487,6,7/23/03,7/24/03,1,49
488,6,7/23/03,7/24/03,2,49
489,6,7/15/04,7/16/04,1,49
490,6,7/15/04,7/16/04,2,49
491,7,7/23/03,7/24/03,1,49
492,7,7/23/03,7/24/03,2,49
493,7,7/15/04,7/16/04,1,49
494,7,7/15/04,7/16/04,2,49
495,10,7/30/03,7/31/03,1,49
496,10,7/30/03,7/31/03,2,49
497,10,7/23/04,7/24/04,1,49
498,10,7/23/04,7/24/04,2,49
499,8,8/5/03,8/6/03,1,49
500,8,8/11/04,8/12/04,1,49
502,13,7/10/03,7/11/03,1,49
503,13,7/10/03,7/11/03,2,49
504,19,7/11/03,7/12/03,1,49
505,19,7/11/03,7/12/03,2,49
506,14,7/13/03,7/14/03,1,49
507,14,7/13/03,7/14/03,2,49
508,1,7/15/03,7/16/03,1,49
509,1,7/15/03,7/16/03,2,49
510,18,7/15/03,7/16/03,1,49
511,18,7/15/03,7/16/03,2,49
512,4,7/19/03,7/20/03,1,49
513,4,7/19/03,7/20/03,2,49
514,20,7/21/03,7/22/03,1,49
515,20,7/21/03,7/22/03,2,49
517,11,7/25/03,7/26/03,1,49
518,17,7/26/03,7/27/03,1,49
519,17,7/26/03,7/27/03,2,49
520,16,7/28/03,7/29/03,1,49
521,16,7/28/03,7/29/03,2,49
522,2,8/8/03,8/9/03,1,49
